PATENTES;Nº;MODELO;AÑO;UBICACIÓN Y SERVICIO ;Neumaticos delanteros;Reemplazo Nuematicos Traseros;Reemplazo Baterias;;;;
AF757AS;1;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 1 ACUDE LA LATA;08/03/25      (02);19/05/25    (02);19/08/24   -  19/03/25;;;;AF757AS
AF757AU;2;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 13 ACUDE CABA;26/11/24      (02);01/04/25    (02);02/01/24   -  28/09/24   -   11/02/25  - 12/06/25;;;;
AF757AZ;3;RENAULT ALASKAN CONFORT 4X4 MT;2023;MOVIL 21 SITIO 74  BERAZATEGUI;28/03/25    (02)    05/09/25   (02);26/06/25     (02);23/02/24  -   23/04/25;;;;
AF857HF;4;RENAULT ALASKAN CONFORT 4X4 MT;2023;LAVALLOL; ;21/03/25     (02);27/11/24   -  07/04/25;;;;
AG059DG;5;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 11 ACUDE BERAZATEGUI;04/03/24     (02);19/07/25     (02);15/01/24   -   10/09/24   -   21/03/25;;;;
AG059DH;6;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 07 ACUDE GUERNICA;17/12/24     (02)  27/09/25  (02);14/02/25     (02);17/02/24   -   17/12/24;;;;
AG059DJ;7;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LAVALLOL;14/01/25     (02);08/03/24     (02);03/04/24   -   04/11/24  - 11/11/24  -  03/03/25;;;;
AG126UB;8;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;ACUDE 18  GONZALEZ CATAN;29/03/25     (02);01/05/25     (02);29/3/2025;;;;
AG126UE;9;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LA PROVIDENCIA;20/01/25     (02);16/05/24     (02);19/5/2025;;;;
AG196ZP;10;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 12 ACUDE QUILMES  ;12/03/25     (02);18/07/25     (02);23/12/2024;;;;
AG196ZQ;11;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 14 ACUDE MORENO;14/12/24     (02);18/03/24     (02)  24/05/25   (02);5/4/2025;;;;
AG278OX;12;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 8 ACUDE FLORENCIO VARELA;;21/02/25     (02);21/4/2025;;;;
AG278OZ;13;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 10 ACUDE LA CAPILLA;17/07/24     (02)  16/10/25   (02);25/02/25     (02);19/10/24   -  14/03/25;;;;
AG315HB;14;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 6 ACUDE LUIS GUILLON;29/01/25     (02);12/05/25     (02);04/11/24  -   10/03/25;;;;
AG315HD;15;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 05 ACUDE CANNING;31/12/24     (02)  15/10/25  (02);14/01/25     (02)  15/10/25  (02);19/02/25  -   12/05/25;;;;
AG366YT;16;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;LAVALLOL  ;19/02/25     (02);12/03/25      (02);23/11/24  -   21/03/25;;;;
AG366YU;17;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2023;MOVIL 13 ACUDE CABA;24/03/25     (02);12/05/25      (02);07/11/24  -   09/06/25;;;;
AG445AI;18;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;MOVIL 16 DE SAN MIGUEL;12/05/25     (02);12/05/25      (02);21/11/2024;;;;
AG445AJ;19;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;ACUDE 19 VIRREY DEL PINO;16/06/25     (02);16/06/25      (02);16/10/2025;;;;
AG705QM;20;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;MOVIL 17 ACUDE PILAR;;;;;;;
AG705QQ;21;RENAULT ALASKAN CONFORT 2.3 dCi 160 4 WD;2024;ACUDE 02 DE CABA;;;;;;;
