PATENTES;Nº;MODELO;AÑO;UBICACIÓN Y SERVICIO ;Reemplazo Neumaticos delanteros;Reemplazo Nuematicos Traseros;Reemplazo Baterias
AA909VN;1;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;TALLER DE PABLO;;;12/6/2025
AA909VM;2;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;Sup VISCARRA;12/06/25   (02) ;06/08/25    (02);17/7/2024
AE626OT;3;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;;;
AE626OU;4;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;;;
AE667QV;5;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;20/03/24    (02);;
AE667QX;6;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;SOL CERNADAS;;;28/2/2025
AE694IC;7;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;;;
AE870CP;8;RENAULT DUSTER OROCH 2,0 DYNAMIQUE 4X4;2021;VENTA;;;22/08/24   -   22/01/25  - 31/05/25
AE870CQ;9;RENAULT DUSTER OROCH 2,0 DYNAMIQUE 4X4;2021;VENTA;;;10/09/24   -   27/02/25
AE937QN;10;FIAT CRONOS 1,3 ATTR ACTIVE;2021;SOL CERNADAS;10/9/25    (02);10/9/25    (02);9/9/2025
AE937QP;11;FIAT CRONOS 1,3 ATTR ACTIVE;2021;LA PROVIDENCIA;19/08/24  (02)    27/03/25  (02);04/05/24   (02)   12/05/25  (02);17/2/2025
AE937QV;12;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;;;
AE937QW;13;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;BASE NUÑEZ;;;23/4/2025
AF047UQ;14;RENAULT ALASKAN  CONFORT 4X4 MT;2021;LA PROVIDENCIA;13/08/24    (02);;23/04/24   -   30/11/24  - 25/09/25
AF047UR;15;RENAULT ALASKAN  CONFORT 4X4 MT;2021;LAVALLOL;09/10/24    (02);;08/04/24   -   17/12/24
AF047UW;16;RENAULT ALASKAN  CONFORT 4X4 MT;2021; ;;;
AF047UX;17;RENAULT ALASKAN  CONFORT 4X4 MT;2021;LAVALLOL;03/02/24     (02);09/05/24   (02);20/01/25   -  28/03/25
AF086CU;18;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;LAVALLOL;19/08/24    (02);;19/08/24   -   24/01/25
AF174KK;19;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;LA PROVIDENCIA;;08/03/25    (02);4/4/2025
AF215FN;20;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;MOVIL 4 ACUDE EZEIZA;;;18/04/25  - 20/10/25
AF215FO;21;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;MOVIL 23 SITIO 144 VIRREY DEL PINO M2;29/03/25    (02);12/05/25    (02);15/01/24  -  31/05/25
AF270OX;22;RENAULT SANDERO II LIFE PLUS 1.6;2022;SUPERVISOR MARCOS PEREYRA;09/04/25    (02);;23/4/2024
AF305MA;23;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;LAVALLOL;08/03/25     (02);27/02/25    (02);17/02/24   -  19/08/24   -   16/01/25
AF305MB;24;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;PERF. MORENO ;;;03/02/24  -   17/04/25
AF333BS;25;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;LAVALLOL;19/01/24     (02)   26/03/25   (02);;12/3/2024
AF333BU;26;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;LA PROVIDENCIA;;;20/03/24  -   10/09/24  -  28/09/24   -   21/03/25
AF333BV;27;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;MOVIL 05 ACUDE CANNING;27/05/25     (02);27/05/25     (02);21/3/2025
AF421HY;28;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;ACUDE 9 VARELA;17/01/24     (02);24/03/25    (02);
AF452DA;29;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;MOVIL 3 ACUDE GLEW;10/03/25     (02);15/04/25    (02);8/3/2025
AF481PB;30;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;SITIO 144 VIRREY DEL PINO;28/01/25     (02);09/05/25    (02);13/08/24   -   20/01/25
AF481PH;31;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;MOVIL 260 SITIO 123 FIORITO - PUESTO 2;08/03/25     (02);27/02/25    (02);15/02/24   -   14/12/24
AF571RX;32;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;LA PROVIDENCIA;;;28/1/2025
AF571RW;33;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;SITIO 123 FIORITO;14/12/24      (02);;23/04/24  -  05/09/25
AF608ZD;34;RENAULT ALASKAN  CONFORT 4X4 MT;2022;LAVALLOL;30/03/24      (02)   13/10/25  (02);;16/05/24  -  28/04/25
