Patente;Nro.;VTV;MOVIL;Marca;Modelo;Kilometraje 8/9/2025;Kilometraje 15/9/2025;Kilometraje 22/9/2025;Kilometraje 29/9/2025;Prom.Sem;AÑO;Usuario;Prox. Serv KM Aceite y filtros;OBSERVACIONES
MNF900;1;oct-22;3;Renault;Clio;;;;;0;2012;3003;171.300;VENDIDA
MNF932;2;feb-23;4;Renault;Clio;;;;;0;2013;3004;231.000;En fecha 24-1-23, se le reemplazo las dos homocinética delanteras y se le realizó cambio de filtros y aceite a los KM 221.395.En fecha 27-8-22,  Se le hizo cambio de cazoletas y Crapodina , extremos y precap de dirección de ambos lados, bujes de parrillas ambos lados, rotulas de ambos lados y se le realizó cambio de filtros y aceite a los KM 208756.
MVE291;3;nov-22;5;Renault;Clio;214.834;;;;-71611;2013;3005;215.000;Se le hizo el servis de los 205.000 km  el 05/6/25. Se le hizo el servis de los 190.000 km  el 14/1/25. se le hizo servis a las 180.000 km el 30/8/24. YA SE LE HIZO SERVICIO 04-6-24 a los KMS. 172.032
NHK226;4;jun-23;6;Renault;Clio;;;;;0;2014;3006;236.000;Se le hizo servicio de cambio de filtro y Aceite a los 226.795 km. Se le hizo serv. de aceite y filtros, a los 210.308 kms. en fecha 2-5-23. Se le cambio el regulador de voltage del alternador a los 209354 (25-4-2023)...Se le realizo cambio  de pata central de caja, a los  208.186Kms.  Se le hizo servicio 31/01/23, a los 198,993. Se le hizo servicio el 2-11-22, a los 187,141KMS. Se le hizo servicio 13/08/22, A LOS 176,896KMS.
NOU018;5;ago-22;7;Renault;Clio;218.000;;;;-72667;2014;3007;226.000;se le hizo servis a los 217.762 km. Se le hizo servicio de cambio de aceite y filtros el 16-2-23, a los 206.635 km. Se le realizo servicio de aceite y filtros a los 195743, el dia 7-12-22..Quedando operativo  ...
NSA764;6;abr-23;8;Renault;Clio;202.750;;;;-67583;2014;3008;206.000;Se le hizo servis a los 196.552 km el 5/4/24. Se le hizo cambio de aceite y filtros en el taller de PABLO, en FECHA  24-5-23. A los 176.000Kms. Se le hizo servicio de filtros y aceite el 25-1-23 a los 171,237 Kms. y  se le cambio manija interna levanta vidrio lado derecho. Se le hizo serrvicio 10/08/22, a los Kms. 160,333
NSA765;7;may-23;9;Renault;Clio;;;;;0;2014;3009;128.000;VENDIDA
NXI181;8;nov-22;10;Renault;Clio;200.287;;;;-66762;2014;3010;210.000;Se le realizo cambio de filtro y aceite a los 200.287 km el 16/8/25En fecha 22/7 se le hizo cambio de filtro y aceite a los 192.562 km. en Fecha 7/07 se le cambio el radiador de Agua a los Km 189766. En fecha 20-5-23, se le realizo cambio de distribución con bomba de agua y se le cambio correa del alternador y tensor de la correa del aire acondicionado, quedando operativo a los 183,115. Se le hizo servicio de filtros y aceite el dia 20-4-23, a los 179803 KMS. Se le hizo servicio 13-2-23, a  165,177 KMS. y  Se le hizo serv.11/10/22, a los 154,004 Kms. /  YA SE LE REALIZO SERV. A LOS 141385-22-7-2022 y el 17-12-2022  se le cambio los dos amortiguadores delanteros, las dos cazoletas y las cuatro bujías a los KM 159395 quedando operativo.
NXI182;9;feb-23;11;Renault;Clio;;;;;0;2014;3011;224.000;SE LE REALIZO SERV. A LOS 214.693 km, EN FECHA 10-5-23.   Se le hizo servicio 29-10-22, a los 200.500 km. /  YA SE LE REALIZO SERV. A LOS 189853-22-7-2022
NXI188;10;ago-22;12;Renault;Clio;235.000;;;;-78333;2014;3012;245.000;Cero km al 15/9/25. En fecha 6-1-23, se le realizó reemplazo del alternador y pata de motor, se le cambio pastillas de Frenos, se le realizó cambio de filtros y aceite y se le colocó calcos en capot , puertas y número de móvil. A los KM 217.444
