PATENTE;AUTOMOVIL;AÑO;SUMA ASEGURADA;COSTO SEMESTRAL;COSTO MENSUAL;MONTO FRANQ.
AF237KR;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 238.926,46;$ 420.000,00
AF270OW;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 238.926,46;$ 420.000,00
AF270OX;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 252.972,73;$ 420.000,00
AF305MA;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF305MB;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF333BU;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 354.143,15;$ 750.000,00
AF333BV;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 354.143,15;$ 750.000,00
AF333BS;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF333BT;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 267.018,99;$ 420.000,00
AF333BW;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 267.018,99;$ 420.000,00
AE580VI;RENAULT KWID 1.0 ZEN;2021;;;$ 199.027,61;$ 420.000,00
AA909VN;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;;;$ 285.615,12;$ 750.000,00
AA909VM;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;;;$ 319.214,15;$ 750.000,00
AF757AT;CASA RODANTE;2015;;$ 84.137,58;$ 14.022,93;
AB027KG;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;;;$ 286.618,43;$ 750.000,00
AB027KF;RENAULT DUSTER OROCH DY NAMIQUE 2;2017;;;$ 285.615,12;$ 750.000,00
AF421HL;RENAULT SANDERO II LIFE PLUS 1.6;2022;;;$ 238.926,46;$ 420.000,00
AF421HY;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AF452DA;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2022;;;$ 316.857,55;$ 750.000,00
AE626OU;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AE626OT;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AE667QX;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 340.820,20;$ 750.000,00
AE667QV;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
AE694IC;RENAULT ALASKAN 2.3 TDI CONFORT 4X4;2021;;;$ 304.957,90;$ 750.000,00
