PATENTE;Nro.;FECHA;KILOMETRAJE;MOTIVO;LUGAR ;
AF174KK;;17/10/2025;;Se le cambio Cardan del 4x4 ;LAVALLOL;RETIRADA
AF215FN;;17/10/2025;;Se le cambio la caja del 4x4 con los Semiejes;LAVALLOL;RETIRADA
AF841PB;;17/10/2025;;CAMBIO POLEA DEL CIGÜEÑAL;RENAULT LOMAS DE ZAMORA;
AF757AS;;17/10/2025;;CAMBIO POLEA DEL CIGÜEÑAL;RENAULT LOMAS DE ZAMORA; 
AF571RW;;2/10/2025;;CAMBIO POLEA DEL CIGÜEÑAL;RENAULT LOMAS DE ZAMORA;RETIRADA
AF333BW;1;24/9/2025;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AG315HG;2;10/9/2025;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AF333BS;3;15/7/2025;;CAMBIO POLEA DEL CIGÜEÑAL;RENAULT LOMAS DE ZAMORA;RETIRADA
AE870CQ;4;13/6/2025;;CAMBIO DE RADIADOR DE AGUA;JAVIER ACUÑA;RETIRADA
AB934RE;5;25/5/2025;;REPARACION DEL ALTERNADOR;LAVALLOL;RETIRADA
AF757AZ ;6;21/5/2025;;REPARACION DEL ALTERNADOR;LAVALLOL;RETIRADA
AG278OZ;7;30/4/2025;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AF333BT;8;28/4/2025;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AF174KK;9;4/4/2025;;REPARACION DEL ALTERNADOR;LAVALLOL;RETIRADA
AF333BT;10;1/4/2025;;Cambio del vidrio delantero lado copiloto;Parabrisas Vasquez;RETIRADA
AF608ZD;11;20/2/2025;;REPARACION DEL ALTERNADOR;LAVALLOL;RETIRADA
AF174KK;12;11/2/2025;;Reparacion de la caja de dirección;LAVALLOL;RETIRADA
AF047UX;13;6/1/2025;;REPARACION AIRE /A CAMBIO DE PARABRISAS;LAVALLOL;RETIRADA
AF305MA;14;16/1/2025;;REEMPLAZO DE BATERIA;JAVIER ACUÑA;RETIRADA
AF481OU;15;13/1/2025;;CAMBIO DE PASTILLAS DE FRENOS Y BATERIA;JAVIER ACUÑA;RETIRADA
AC515JC;16;10/1/2025;;REPARACION DEL ALTERNADOR;JAVIER ACUÑA;RETIRADA
AA909VM;17;10/1/2025;;REPARACION DE POLEA Y REPARACION AIRE /A;LAVALLOL;RETIRADA
AF215FO;18;7/1/2025;;REPARACION DE POLEA Y REPARACION AIRE /A;LAVALLOL;RETIRADA
AF481PB;19;4/1/2025;;INSTALACION DE PARABRISAS Y REPARACION DEL A/A;LAVALLOL;RETIRADA
AF571RW;20;4/1/2025;;CAMBIO DE RULEMAN LADO DERECHO;JAVIER ACUÑA;RETIRADA
AF047UR;21;31/12/2024;;SE REPARO CILINDRO DE FRENOS TRASERO IZQ;JAVIER ACUÑA;RETIRADA
AE870CP;22;6/12/2024;;REPARACION DE RADIADOR DE AGUA;JAVIER ACUÑA;RETIRADA
AE870CP;23;22/11/2024;;REPARACION AIRE /A;LAVALLOL;RETIRADA
AF215FO;24;19/11/2024;;REPARACION AIRE /A;LAVALLOL;RETIRADA
AF333BW;25;19/11/2024;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AF047UR;26;18/11/2024;;CAMBIO DE RULEMAN LADO IZQUIERDO;JAVIER ACUÑA;RETIRADA
AF333BS;27;15/11/2024;;CAMBIO DE RULEMAN LADO IZQUIERDO;JAVIER ACUÑA;RETIRADA
AF215FO;28;12/11/2024;;REPARACION AIRE /A;LAVALLOL;RETIRADA
AF047UW;29;4/11/2024;;CAMBIO DE RULEMAN LADO DERECHO;JAVIER ACUÑA;RETIRADA
AE937QP;30;4/11/2024;;cambio de pastillas de frenos;JAVIER ACUÑA;RETIRADA
AF 047 UR;31;26/10/2024;;REMPLAZO DEL ALTERNADOR;JAVIER ACUÑA;RETIRADA
AF421HL;32;24/10/2024;;cambio de pastillas de frenos;JAVIER ACUÑA;RETIRADA
AG059GH;33;16/10/2024;;REPARACION AIRE /A;LAVALLOL;RETIRADA
AF481PB;34;16/10/2024;;REPARACION AIRE /A;LAVALLOL;RETIRADA
AG366YT;35;28/8/2024;;INSTALACION DE PARABRISAS;LAVALLOL;RETIRADA
AE937QP ;36;20/8/2024;;CAMBIO DE LA CORREA POLLY;JAVIER ACUÑA;RETIRADA
NXI182;37;27/7/2024;;Reemplazo del burro de arranque;JAVIER ACUÑA;RETIRADA
AF857HF;38;11/7/2024;;Reparación de la Calefacción;LAVALLOL;RETIRADA
AF481OR;39;5/7/2024;;CAMBIO DE VENTILETE DERECHO;URIARTE 1240;RETIRADA
AF481PB;40;25/6/2024;;CAMBIO DE LA CORREA POLLY;LAVALLOL;RETIRADA
AF571RX;41;13/6/2024;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AE870CQ;42;2/5/2024;;REMPLAZO DEL ALTERNADOR;JAVIER ACUÑA;RETIRADA
AA909VM;43;29/4/2024;;REMPLAZO DEL ALTERNADOR;JAVIER ACUÑA;RETIRADA
AF215FN;44;2/4/2024;;CAMBIO DE RULEMAN LADO IZQUIERDO;JAVIER ACUÑA;RETIRADA
AF608ZD;45;28/3/2024;;INSTALACION DE PARABRISAS;LAVALLOL;RETIRADA
AC515JI;46;27/3/2024;;CAMBIO DE RODILLOS DE LA CORREA POLLY;JAVIER ACUÑA;RETIRADA
AF215FN;47;27/3/2024;;CAMBIO DE RULEMAN LADO DERECHO;JAVIER ACUÑA;RETIRADA
AC515JH;48;27/3/2024;;REPARACION DE RADIADOR DE AGUA;JAVIER ACUÑA;RETIRADA
AF757AS;49;4/3/2024;;CAMBIO DE RULEMAN;JAVIER ACUÑA;RETIRADA
AB027KF;50;21/2/2024;;REMPLAZO DEL ALTERNADOR;JAVIER ACUÑA;RETIRADA
AG196ZS;51;22/1/2024;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
MNF900;52;15/1/2024;;SE LE CAMBIO ELECTROVENTILADOR;LAVALLOL;RETIRADA
AE694IC;53;2/1/2024;;REPARACION AIRE /A;RENAULT LOMAS DE ZAMORA;
