Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AG366YU;;22/10/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;;;;;
AG445AJ;;21/10/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;;;;;
AF571RX;1;16/10/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00003034;;$ 788.509,32;;
AG278OX;2;13/10/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;;;;;
AG445AI;3;2/10/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00003017;;$ 772.278,12;;
AG196ZS;4;2/10/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00003018;;$ 772.277,95;;
AG315HB;5;1/10/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00003016;;$ 772.278,01;;
AF174KK;6;30/9/2025;170.000;REPARACION;SE REALIZO REEMPLAZO DE CAJA TERMOSTATICA;RENAULT - LOMAS;0045-00002986;;;;
AF571RW;7;30/9/2025;180.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 180.000 KM ;RENAULT - LOMAS;0045-00002990;;;;
AG196ZR;8;29/9/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002999;;$ 772.277,95;;
AG059DH;9;29/9/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002985;;$ 772.277,95;;
AE667QX;10;24/9/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002978;;;;
AF333BW;11;23/9/2025;90.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 90.000 KM ;RENAULT - LOMAS;0045-00002977;;$ 233.672,74;;
AG705QM;12;17/9/2025;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002970;;$ 772.277,95;;
AF421HY;13;9/9/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002951;;$ 772.277,95;;
AF481PG;14;3/9/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002949;;$ 772.277,95;;
AF481OQ;15;3/9/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;PABLO;;;;;
AF047UQ;16;29/8/2025;176.165;SERVICIO;REEMPLAZO DE CAJA TERMOSTATICA + TERMOSTATO + LIQUIDO;RENAULT - LOMAS;0045-00002933;15/10/2025;;;
AG705QQ;17;21/8/2025;20.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002906;15/10/2025;$ 618.008,14;;
AG278OZ;18;20/8/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002927;15/10/2025;$ 895.166,46;;
AG445AJ;19;19/8/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002916;15/10/2025;$ 895.166,52;;
AG126UB;20;18/8/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002895;15/10/2025;$ 618.008,14;;
AG126UE;21;14/8/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002889;15/10/2025;$ 618.008,14;;
AF757AT;22;14/8/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002884;15/10/2025;$ 579.674,99;;
AG315HG;23;12/8/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002880;15/10/2025;$ 579.674,98;;
AG315HD;24;7/8/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002877;15/10/2025;$ 579.674,98;;
AG059DJ;25;5/8/2025;180.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 180.000 KM ;RENAULT - LOMAS;0045-00002873;15/10/2025;$ 841.892,50;;
AF757AS;26;4/8/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002872;15/10/2025;$ 579.675,04;;
AF452DA;27;1/8/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002860;29/8/2025;$ 524.001,93;;
AG445AI;28;30/7/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002852;29/8/2025;$ 778.519,39;;
AG315HB;29;29/7/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002846;29/8/2025;$ 778.519,35;;
AF215FN;30;29/7/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002848;29/8/2025;$ 778.519,35;;
