PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AG366YT;97;8A1D23000RL715206;2/1/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;4/1/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;4/1/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF270OX;54;8A15SRYE5NL153755;10/1/2025;Se le realizó cambio de pastillas de frenos;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;14/1/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;14/1/2025;Se le realizó la reparación del alternador;JAVIER ACUÑA
AF481OU;65;8A15SRYE5PL288906;14/1/2025;Se le realizó cambio de pastillas de frenos y cambio de batería;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;14/1/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;14/1/2025;Se le reemplazo las pastillas de frenos;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;14/1/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le colocó 2 cubiertas nuevas delanteras ;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;14/1/2025;Se le reemplazo los amortiguadores, cazoleta y grapodina delantero, y se le cambio la tapa depósito de agua;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;14/1/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 54094.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;16/1/2025;Se le reemplazo la batería;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;17/1/2025;Se le cambio las pastillas de frenos;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;17/1/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;20/1/2025;Se le reparo el burro de arranque;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;20/1/2025;Se le reemplazo la batería ;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;20/1/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;20/1/2025;Se le reemplazo los amortiguadores delanteros y ruleman y masa delantera lado izquierdo;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;20/1/2025;Se le reemplazo la batería;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;20/1/2025;Se le colocó 2 cubiertas nuevas delanteras ;JAVIER ACUÑA
AE870CP;34;93Y9SR5A3MJ801143;22/1/2025;Se le cambio la bateria a los 89.285 km la que tenia no servia mas;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;24/1/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;24/1/2025;Se le cambio flexible de frenos delantero lado izquierdo quedando operativo;JAVIER ACUÑA
